Investment James,Butt 149236 53189.73 Growth
Savings Josephine,Darakjy 113197 8933.61 6.87
Savings Art,Venere 152889 88507.96 0.07
Investment Lenna,Paprocki 998961 70272.61 Growth
Checking Donette,Foller 397456 20812.4
Investment Simona,Morasca 518959 97204.93 Property
Savings Mitsue,Tollner 359495 31019.88 6.11
Savings Leota,Dilliard 122548 43501.85 6.85
Checking Sage,Wieser 656237 4592.72
Checking Kris,Marrier 943274 4070.08
Investment Minna,Amigon 996287 94410.61 Property
Checking Abel,Maclead 419225 27447.25
Checking Kiley,Caldarera 963514 97421.96
Savings Graciela,Ruta 187443 41278.76 5.4
Investment Cammy,Albares 136181 96205.19 Property
Checking Mattie,Poquette 623875 18405.97
Investment Meaghan,Garufi 257118 29136.56 Shares
Investment Gladys,Rim 161779 59541.36 Shares
Investment Yuki,Whobrey 919965 40424.78 Growth
Investment Fletcher,Flosi 319584 66342.15 Property
Savings Bette,Nicka 931151 51388.36 7.52
Investment Veronika,Inouye 868343 51155.36 Shares
Checking Willard,Kolmetz 172379 66144.9
Investment Maryann,Royster 522112 87141.31 Growth
Checking Alisha,Slusarski 526697 14129.77
Investment Allene,Iturbide 635731 34344.69 Property
Savings Chanel,Caudy 863965 4634.57 5.52
Savings Ezekiel,Chui 613387 33687.28 2.61
Savings Willow,Kusko 329617 42692.02 11.05
Savings Bernardo,Figeroa 425958 15883.87 3.31
Savings Ammie,Corrio 865792 96453.85 11.58
Investment Francine,Vocelka 675827 39550.38 Shares
Savings Ernie,Stenseth 223121 96606.86 6.97
Investment Albina,Glick 827451 35427.46 Shares
Checking Alishia,Sergi 621387 71859.59
Savings Solange,Shinko 479687 82700.53 10.8
Investment Jose,Stockham 413418 49570.93 Shares
Savings Rozella,Ostrosky 195939 63057.07 7.21
Checking Valentine,Gillian 772242 47808.92
Investment Kati,Rulapaugh 564893 43627.73 Growth
Checking Youlanda,Schemmer 254573 61394.58
Savings Dyan,Oldroyd 363459 51522.67 7.37
Investment Roxane,Campain 691724 40147.46 Shares
Savings Lavera,Perin 271874 80249.2 3.77
Checking Erick,Ferencz 319673 25820.38
Checking Fatima,Saylors 553752 79545.25
Savings Jina,Briddick 153231 71629.16 4.71
Investment Kanisha,Waycott 267145 7946.44 Growth
Checking Emerson,Bowley 261457 60599.54
Checking Blair,Malet 731456 20734.84
Checking Brock,Bolognia 283997 86134.45
Investment Lorrie,Nestle 964941 49901.14 Shares
Savings Sabra,Uyetake 772355 79764.32 9.88
Checking Marjory,Mastella 394219 71738.18
Checking Karl,Klonowski 115874 22343.54
Savings Tonette,Wenner 947526 84686.81 5.34
Checking Amber,Monarrez 599569 88329.44
Checking Shenika,Seewald 151593 77241.99
Checking Delmy,Ahle 315629 49049.03
Checking Deeanna,Juhas 399614 21918.39
Savings Blondell,Pugh 616781 65193.7 0.44
Investment Jamal,Vanausdal 141362 86189.87 Shares
Investment Cecily,Hollack 242542 4154.31 Property
Savings Carmelina,Lindall 227132 9024.11 1.52
Investment Maurine,Yglesias 727184 95897.87 Property
Investment Tawna,Buvens 543163 82840.19 Shares
Checking Penney,Weight 685623 99420.48
Checking Elly,Morocco 162366 707.54
Investment Ilene,Eroman 769722 24633.92 Shares
Checking Vallie,Mondella 744374 26318.2
Investment Kallie,Blackwood 868338 6574.66 Shares
Checking Johnetta,Abdallah 198618 27971.12
Checking Bobbye,Rhym 681957 69156.91
Checking Micaela,Rhymes 892498 12034.6
Investment Tamar,Hoogland 974897 20537.17 Shares
Investment Moon,Parlato 751547 71082.17 Shares
Investment Laurel,Reitler 169145 5148.86 Growth
Savings Delisa,Crupi 751348 41196.72 6.97
Checking Viva,Toelkes 511564 96512.53
Checking Elza,Lipke 865283 94213.73
Investment Devorah,Chickering 147849 5578.43 Shares
Investment Timothy,Mulqueen 935475 4779.3 Growth
Savings Arlette,Honeywell 391681 9231.87 0.26
Savings Dominque,Dickerson 684336 2493.41 9.8
Savings Lettie,Isenhower 321737 19128.23 11.56
Savings Myra,Munns 386793 38972.34 7.92
Checking Stephaine,Barfield 192188 6020.68
Savings Lai,Gato 214171 20211.42 6.14
Savings Stephen,Emigh 768621 54520.99 4.87
Savings Tyra,Shields 212755 12862.16 11.82
Savings Tammara,Wardrip 988331 48110.17 1.12
Savings Cory,Gibes 916125 20903.9 10.21
Savings Danica,Bruschke 768278 24132.21 7.06
Savings Wilda,Giguere 867847 259.84 9.83
Investment Elvera,Benimadho 856978 59332.9 Shares
Checking Carma,Vanheusen 348615 13266.37
Investment Malinda,Hochard 787444 78485.42 Shares
Investment Natalie,Fern 129456 92848.46 Growth
Investment Lisha,Centini 742689 68674.45 Shares
Checking Arlene,Klusman 426972 89652.08
Investment Alease,Buemi 913827 53255.92 Property
Savings Louisa,Cronauer 213744 43064.42 10.65
Savings Angella,Cetta 323697 58400.61 6.62
Investment Cyndy,Goldammer 816364 45918.31 Property
Investment Rosio,Cork 516214 22838.6 Shares
Checking Celeste,Korando 923242 42696.1
Savings Twana,Felger 616957 28077.5 8.08
Investment Estrella,Samu 385297 57719.28 Shares
Investment Donte,Kines 425668 53087.79 Shares
Checking Tiffiny,Steffensmeier 247225 55092.52
Savings Edna,Miceli 579685 73664.93 1.98
Investment Sue,Kownacki 296422 236.37 Shares
Investment Jesusa,Shin 974465 5231.45 Property
Savings Rolland,Francescon 138342 10798.33 2.9
Savings Pamella,Schmierer 222754 59237.96 2.74
Investment Glory,Kulzer 687119 43268.21 Growth
Checking Shawna,Palaspas 577247 82688.95
Checking Brandon,Callaro 874738 62601.39
Savings Scarlet,Cartan 758449 93392.09 8.78
Savings Oretha,Menter 234371 81588.56 1.76
Savings Ty,Smith 287125 21933.86 1.39
Checking Xuan,Rochin 932149 38563.62
Investment Lindsey,Dilello 941236 73665.25 Property
Savings Devora,Perez 177678 61273.36 7.4
Checking Herman,Demesa 139663 38618.32
Checking Rory,Papasergi 315833 3795.06
Investment Talia,Riopelle 546983 39334.73 Property
Savings Van,Shire 867547 43878.06 4.16
Checking Lucina,Lary 356569 94585.33
Investment Bok,Isaacs 479981 83601.47 Property
Checking Rolande,Spickerman 377948 60308.49
Savings Howard,Paulas 922252 12570.54 8.68
Checking Kimbery,Madarang 216369 99880.04
Savings Thurman,Manno 158718 75203.95 3.36
Savings Becky,Mirafuentes 364745 77688.36 2.54
Savings Beatriz,Corrington 857871 44733.97 7.71
Savings Marti,Maybury 717233 83921.99 6.5
Savings Nieves,Gotter 462819 63371.28 9.61
Checking Leatha,Hagele 913276 50347.06
Checking Valentin,Klimek 388666 21996.14
Checking Melissa,Wiklund 445232 74532.73
Checking Sheridan,Zane 282934 59036.85
Savings Bulah,Padilla 149153 61802.09 5.09
Checking Audra,Kohnert 816861 80210.28
Savings Daren,Weirather 327464 31301.47 2.55
Savings Fernanda,Jillson 322784 42476.03 4.84
Checking Gearldine,Gellinger 643315 52396.64
Checking Chau,Kitzman 885988 42300.72
Savings Theola,Frey 253183 3563.1 4.03
Savings Cheryl,Haroldson 963892 28550.86 11.48
Investment Laticia,Merced 315225 59958.89 Property
Investment Carissa,Batman 712872 26468.1 Property
Checking Lezlie,Craghead 244958 57855.64
Checking Ozell,Shealy 684891 47511.65
Investment Arminda,Parvis 936481 69406.3 Shares
Savings Reita,Leto 215574 91794.96 4.66
Investment Yolando,Luczki 213773 58358.39 Growth
Investment Lizette,Stem 641372 88282.68 Shares
Investment Gregoria,Pawlowicz 331374 55427.04 Shares
Savings Carin,Deleo 644386 82635.09 5.59
Checking Chantell,Maynerich 343228 87302.93
Savings Dierdre,Yum 496198 96350.01 4.74
Checking Larae,Gudroe 193711 40614.49
Checking Latrice,Tolfree 723618 69629.52
Checking Kerry,Theodorov 564956 92383.86
Savings Dorthy,Hidvegi 517257 62467.59 4.77
Savings Fannie,Lungren 786575 28550.54 3.0
Investment Evangelina,Radde 986651 85638.64 Property
Savings Novella,Degroot 761471 62701.54 2.92
Savings Clay,Hoa 292454 35410.44 3.94
Savings Jennifer,Fallick 271439 7752.26 10.09
Checking Irma,Wolfgramm 444463 21970.12
Checking Eun,Coody 975685 92207.43
Investment Sylvia,Cousey 818616 97260.15 Growth
Savings Nana,Wrinkles 548867 42652.32 3.25
Investment Layla,Springe 442571 97071.37 Shares
Checking Joesph,Degonia 334511 41948.95
Investment Annabelle,Boord 833122 40176.48 Shares
Investment Stephaine,Vinning 913591 21299.98 Shares
Checking Nelida,Sawchuk 928591 59447.71
Savings Marguerita,Hiatt 586848 971.15 8.38
Checking Carmela,Cookey 977966 28182.39
Savings Junita,Brideau 415713 56535.57 2.44
Savings Claribel,Varriano 145911 59857.94 1.44
Savings Benton,Skursky 769253 72329.75 4.84
Investment Hillary,Skulski 249411 91109.01 Growth
Checking Merilyn,Bayless 213147 68299.35
Checking Teri,Ennaco 919194 64180.0
Savings Merlyn,Lawler 228179 7969.81 11.75
Investment Georgene,Montezuma 636636 26102.94 Growth
Checking Jettie,Mconnell 178574 37248.5
Checking Lemuel,Latzke 463647 21669.59
Savings Melodie,Knipp 467132 11632.5 1.67
Savings Candida,Corbley 653544 98970.88 4.48
Investment Karan,Karpin 973689 27141.08 Growth
Savings Andra,Scheyer 916347 74269.0 11.65
Investment Felicidad,Poullion 635444 30774.67 Growth
Savings Belen,Strassner 326471 235.87 0.4
Checking Gracia,Melnyk 865543 44312.34
Investment Jolanda,Hanafan 595757 72730.07 Growth
Savings Barrett,Toyama 933691 48749.65 9.14
Checking Helga,Fredicks 594131 47608.82
Checking Ashlyn,Pinilla 269834 30127.68
Checking Fausto,Agramonte 317762 25637.34
Savings Ronny,Caiafa 412625 36604.29 11.36
Investment Marge,Limmel 631229 72140.68 Growth
Investment Norah,Waymire 727236 80727.04 Shares
Checking Aliza,Baltimore 143156 59159.32
Savings Mozell,Pelkowski 812391 96380.23 10.56
Savings Viola,Bitsuie 944534 65428.88 1.3
Savings Franklyn,Emard 375477 83748.41 10.86
Savings Willodean,Konopacki 738286 130.02 1.39
Checking Beckie,Silvestrini 733318 62611.51
Savings Rebecka,Gesick 565911 48235.39 4.02
